ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,recoded_target
1934067587,12874.49,30,2017,8,12,5,2017,7,13,3,9,13,138,0
915996481,5000.0,30,2013,10,31,3,2013,10,1,1,22,8,148,0
433644414,17022.05,30,2016,5,11,2,2016,4,11,0,17,4,113,0
573725680,2000.0,22,2010,6,17,3,2010,5,26,2,22,0,98,0
43914238,10818.61,30,2017,5,31,2,2017,5,1,0,21,12,19,0
1402904730,10000.0,30,2015,9,16,2,2015,8,17,0,22,6,127,1
1011613838,6000.0,30,2017,4,9,6,2017,3,10,4,22,7,50,1
1430243888,1000.0,30,2017,1,26,3,2016,12,27,1,22,10,72,1
55635952,3500.0,61,2011,5,2,0,2011,3,2,2,22,0,10,0
1820224682,1500.0,30,2017,12,29,4,2017,11,29,2,22,12,95,1
1617682150,15500.0,30,2016,1,11,0,2015,12,12,5,22,0,28,1
1407365665,35074.18,30,2016,7,6,2,2016,6,6,0,20,8,148,0
1244152424,35000.0,60,2014,12,21,6,2014,10,22,2,22,0,147,0
451882648,23800.0,31,2016,4,1,4,2016,3,1,1,22,8,136,1
7061835,5500.0,60,2012,9,4,1,2012,7,6,4,22,10,72,0
1447728591,3852.28,20,2017,5,23,1,2017,5,3,2,9,1,25,0
502601745,8500.0,30,2011,9,3,5,2011,8,4,3,22,11,104,0
1126000602,10000.0,30,2012,7,11,2,2012,6,11,0,22,11,104,0
1604220761,113279.79,30,2015,5,10,6,2015,4,10,4,11,13,67,0
997582529,5000.0,44,2013,7,18,3,2013,6,4,1,22,12,19,0
1207510102,3000.0,38,2015,4,20,0,2015,3,13,4,22,10,125,0
821400484,10000.0,45,2011,2,24,3,2011,1,10,0,22,2,32,0
64891062,4225.0,30,2017,8,21,0,2017,7,22,5,22,0,10,0
130743574,45000.0,35,2016,8,10,2,2016,7,6,2,22,8,136,1
611116124,150000.0,60,2014,9,9,1,2014,7,11,4,22,7,130,0
1202093376,2725.51,60,2015,12,2,2,2015,10,3,5,5,5,7,0
768435770,2000.0,30,2013,4,4,3,2013,3,5,1,22,13,138,0
935149417,75000.0,28,2014,8,29,4,2014,8,1,4,22,7,123,0
1939330516,2600.0,60,2009,12,25,4,2009,10,26,0,22,6,129,1
1825799300,4000.0,30,2014,12,15,0,2014,11,15,5,22,7,58,1
1591039875,500.0,30,2016,5,1,6,2016,4,1,4,22,0,10,1
1384149355,4000.0,60,2015,6,15,0,2015,4,16,3,22,1,66,0
117852094,18000.0,31,2015,4,9,3,2015,3,9,0,22,0,98,0
1978741355,50000.0,45,2013,3,4,0,2013,1,18,4,22,7,58,0
1468002474,7000.0,60,2013,2,2,5,2012,12,4,1,22,6,129,0
82431509,40000.0,30,2016,11,20,6,2016,10,21,4,22,13,61,0
609706249,2471.78,50,2017,9,13,2,2017,7,25,1,3,12,6,1
151360243,1200.0,43,2012,9,5,2,2012,7,24,1,22,1,26,0
72470655,3365.13,21,2014,7,28,0,2014,7,7,0,9,10,30,0
663866111,3829.48,25,2015,1,31,5,2015,1,6,1,9,0,10,0
231105648,1500.0,41,2012,12,17,0,2012,11,6,1,22,0,10,1
104542013,10200.0,29,2013,10,20,6,2013,9,21,5,22,0,98,1
1515217318,7806.0,36,2011,4,10,6,2011,3,5,5,22,0,10,0
503904306,156.63,30,2017,9,23,5,2017,8,24,3,1,2,135,1
1407013289,3000.0,60,2011,1,14,4,2010,11,15,0,22,6,39,0
1890219729,17500.0,33,2016,5,4,2,2016,4,1,4,22,6,3,0
1961410280,5000.0,30,2014,7,1,1,2014,6,1,6,22,0,96,0
415334886,1200.0,60,2016,9,2,4,2016,7,4,0,22,3,99,1
440858296,4000.0,30,2017,1,23,0,2016,12,24,5,22,1,25,0
937394123,6000.0,56,2015,4,30,3,2015,3,5,3,22,10,156,0
1856856573,38393.61,30,2017,2,23,3,2017,1,24,1,1,13,46,0
10403248,11000.0,30,2015,6,21,6,2015,5,22,4,22,12,95,0
1092692819,5000.0,38,2012,8,3,4,2012,6,26,1,22,0,98,0
1893728522,6429.32,60,2015,5,25,0,2015,3,26,3,3,12,108,0
14400372,8000.0,31,2016,10,16,6,2016,9,15,3,22,8,136,1
1889995943,702.0,31,2015,2,19,3,2015,1,19,0,22,7,51,1
