ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,launched_hour,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
76390313,56814.95,30,2016,4,2,5,2016,3,3,3,14,5,4,113,42.0,0
113340876,20000.0,36,2014,10,1,2,2014,8,26,1,14,22,13,132,56.0,0
1706895142,3000.0,30,2013,3,25,0,2013,2,23,5,22,22,0,114,38.0,1
444023911,5000.0,50,2014,2,6,3,2013,12,18,2,22,22,12,19,56.0,1
889533872,358.27,23,2015,12,16,2,2015,11,23,0,17,3,5,121,8.0,0
645109277,4000.0,30,2012,5,26,5,2012,4,26,3,18,22,11,104,51.0,1
963341013,32000.0,26,2015,8,10,0,2015,7,15,2,0,22,6,39,38.0,0
1361440283,150000.0,30,2016,7,28,3,2016,6,28,1,0,22,6,39,26.0,0
1536439853,7569.79,60,2015,11,29,6,2015,9,30,2,12,9,9,111,29.0,0
1839412554,10000.0,31,2015,2,20,4,2015,1,20,1,12,22,5,31,3.0,0
1406907043,1500.0,30,2014,11,8,5,2014,10,9,3,1,22,2,154,21.0,0
1587425906,2800.0,13,2011,6,25,5,2011,6,12,6,0,22,6,129,24.0,1
578064522,4500.0,30,2011,9,18,6,2011,8,19,4,22,22,0,114,7.0,0
99054599,5000.0,30,2013,11,10,6,2013,10,11,4,21,22,0,114,57.0,0
1213811673,3000.0,31,2013,10,11,4,2013,9,10,1,7,22,4,113,59.0,1
2035096812,650.0,30,2017,8,7,0,2017,7,8,5,3,22,6,153,19.0,1
1537119049,1500.0,33,2013,3,31,6,2013,2,26,1,23,22,8,62,50.0,1
302687501,29018.71,30,2016,9,18,6,2016,8,19,4,2,1,10,23,30.0,0
586477150,1008.0,45,2014,7,25,4,2014,6,10,1,20,17,2,32,30.0,0
1816805857,1000.0,29,2013,9,10,1,2013,8,12,0,16,22,1,26,22.0,1
976723104,1528.58,30,2016,6,1,2,2016,5,2,0,18,3,13,151,28.0,0
484999470,2500.0,30,2014,10,15,2,2014,9,15,0,6,22,8,136,16.0,1
601610900,401.9,52,2017,9,1,4,2017,7,11,1,0,3,10,90,54.0,1
