ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
241412579,2000.0,31,2015,11,1,6,2015,10,1,3,22,8,106,57.0,1
1394600580,1610.55,46,2017,3,15,2,2017,1,28,5,12,12,54,47.0,1
605095341,5000.0,44,2015,10,25,6,2015,9,11,4,22,4,113,48.0,0
1187896595,5000.0,60,2012,10,13,5,2012,8,14,1,22,6,39,45.0,1
1019871932,100000.0,30,2015,7,10,4,2015,6,10,2,22,7,59,13.0,0
373114993,12000.0,35,2011,8,26,4,2011,7,22,4,22,12,115,39.0,0
1768289946,4337.27,30,2014,11,13,3,2014,10,14,1,1,4,9,22.0,0
583826229,1500.0,51,2015,9,6,6,2015,7,17,4,22,13,151,30.0,0
276814368,5000.0,28,2016,10,1,5,2016,9,3,5,22,0,87,24.0,1
234447289,5000.0,30,2015,3,12,3,2015,2,10,1,22,0,10,39.0,0
1622234286,73629.8,30,2015,10,9,4,2015,9,9,2,9,0,10,59.0,0
1753209894,575.0,7,2012,5,21,0,2012,5,14,0,22,2,32,23.0,0
1047397732,2500.0,33,2012,12,23,6,2012,11,20,1,22,10,109,33.0,1
882357881,10860.95,30,2016,1,8,4,2015,12,9,2,12,5,2,54.0,1
1932019623,3000.0,30,2015,9,17,3,2015,8,18,1,22,6,3,34.0,1
1575132397,7500.0,44,2013,12,28,5,2013,11,14,3,22,7,58,17.0,0
1538111821,1500.0,30,2012,1,20,4,2011,12,21,2,22,5,52,60.0,0
337201935,10000.0,55,2012,5,24,3,2012,3,30,4,22,6,39,60.0,0
8802892,3300.0,30,2011,6,16,3,2011,5,17,1,22,10,90,29.0,1
1992234640,3042.06,30,2016,11,6,6,2016,10,7,4,1,12,115,58.0,1
678984468,2500.0,30,2015,4,29,2,2015,3,30,0,22,8,62,21.0,0
498505629,700000.0,30,2015,11,9,0,2015,10,10,5,22,3,99,9.0,0
1194457259,700.0,32,2013,1,9,2,2012,12,8,5,22,10,72,39.0,0
1274494390,10000.0,30,2015,2,20,4,2015,1,21,2,22,0,10,40.0,0
116046887,19270.0,22,2012,11,7,2,2012,10,16,1,22,12,115,56.0,0
1341696840,20000.0,30,2014,2,8,5,2014,1,9,3,22,7,58,40.0,0
259795625,1000.0,34,2012,7,16,0,2012,6,12,1,22,10,90,29.0,1
479626263,460.5,28,2013,4,17,2,2013,3,20,2,9,12,54,51.0,0
1493787556,9069.61,30,2017,6,22,3,2017,5,23,1,3,5,52,47.0,0
415174950,11000.0,30,2012,10,13,5,2012,9,13,3,22,10,30,26.0,1
212889378,2248.97,39,2014,10,13,0,2014,9,4,3,1,4,113,40.0,1
1392334069,1025.0,30,2012,10,11,3,2012,9,11,1,22,0,96,37.0,0
1566750544,14000.0,49,2014,10,30,3,2014,9,11,3,22,8,106,19.0,0
1499935354,18459.83,30,2013,5,6,0,2013,4,6,5,9,13,131,29.0,0
15359858,7000.0,23,2014,3,24,0,2014,3,1,5,22,3,36,58.0,0
1553585748,20673.12,30,2014,12,11,3,2014,11,11,1,1,12,54,12.0,0
1865349201,2000.0,10,2011,6,29,2,2011,6,19,6,22,6,93,15.0,1
1837615072,16000.0,30,2015,3,2,0,2015,1,31,5,22,8,136,25.0,0
1508925458,1000.0,30,2012,4,20,4,2012,3,21,2,22,12,54,9.0,0
2110293219,3000.0,28,2014,8,11,0,2014,7,14,0,22,4,65,20.0,1
1093063919,2520.63,18,2014,8,5,1,2014,7,18,4,9,13,151,32.0,0
695116791,5882.49,30,2017,8,11,4,2017,7,12,2,12,11,103,47.0,0
1781080695,14400.0,30,2012,4,28,5,2012,3,29,3,22,6,93,24.0,0
1954128546,10000.0,30,2012,1,6,4,2011,12,7,2,22,12,95,51.0,0
950067321,600.0,30,2014,12,31,2,2014,12,1,0,22,2,34,40.0,0
1315095768,10358.85,29,2016,11,10,3,2016,10,12,2,2,8,62,25.0,0
1763067575,50000.0,31,2017,7,21,4,2017,6,20,1,22,4,113,41.0,1
876310692,24000.0,31,2016,7,2,5,2016,6,1,2,22,4,113,5.0,1
1648949081,35000.0,60,2017,8,19,5,2017,6,20,1,22,4,113,60.0,1
204495322,10000.0,30,2017,8,27,6,2017,7,28,4,22,2,34,26.0,0
357284769,500.0,35,2016,6,2,3,2016,4,28,3,22,6,24,18.0,1
1755381407,350.0,15,2014,11,4,1,2014,10,20,0,22,4,65,57.0,1
1188582999,50000.0,45,2014,2,21,4,2014,1,7,1,22,13,138,36.0,1
1160266170,1000.0,30,2016,3,2,2,2016,2,1,0,22,0,10,16.0,0
1152089672,4000.0,60,2012,4,15,6,2012,2,15,2,22,10,23,18.0,0
324784390,3000.0,31,2012,8,3,4,2012,7,3,1,22,4,37,23.0,0
820266682,1000.0,60,2015,5,27,2,2015,3,28,5,22,0,96,60.0,1
1881360989,90000.0,30,2012,10,6,5,2012,9,6,3,22,6,39,55.0,0
1494186272,3000.0,36,2013,2,1,4,2012,12,27,3,22,6,55,40.0,1
1726299214,15000.0,30,2016,12,16,4,2016,11,16,2,22,13,132,12.0,0
229855244,50000.0,20,2017,12,4,0,2017,11,14,1,22,11,104,50.0,0
532026468,500.0,30,2017,11,27,0,2017,10,28,5,22,0,87,22.0,0
2015162180,1.0,29,2016,3,23,2,2016,2,23,1,22,2,154,40.0,0
1441476096,1000.0,15,2017,2,16,3,2017,2,1,2,22,0,38,41.0,0
404744080,5000.0,30,2013,2,2,5,2013,1,3,3,22,10,109,26.0,0
71783256,5500.0,53,2010,8,15,6,2010,6,23,2,22,3,36,49.0,0
1473135794,1000.0,30,2016,9,6,1,2016,8,7,6,22,0,140,12.0,0
1651651025,2000.0,14,2015,11,11,2,2015,10,28,2,22,5,2,13.0,1
1320379230,500000.0,60,2016,1,10,6,2015,11,11,2,22,8,148,19.0,0
395877179,1863.33,30,2017,4,7,4,2017,3,8,2,9,6,39,18.0,1
407218574,10000.0,30,2016,11,9,2,2016,10,10,0,22,8,106,8.0,0
785402448,1500.0,30,2011,9,10,5,2011,8,11,3,22,6,55,45.0,0
1397874479,1000.0,21,2013,6,13,3,2013,5,23,3,22,5,52,44.0,1
914671689,16062.97,34,2015,2,25,2,2015,1,22,3,3,12,95,55.0,0
713886133,25135.5,50,2014,12,6,5,2014,10,17,4,9,8,136,28.0,0
667515139,10000.0,58,2012,1,30,0,2011,12,3,5,22,7,58,31.0,1
1226981979,1500.0,58,2017,11,30,3,2017,10,3,1,22,10,90,16.0,0
1038919390,95000.0,45,2017,4,15,5,2017,3,1,2,22,13,61,39.0,1
