ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
695108701,1450.0,20,2012,4,16,0,2012,3,27,1,22,0,87,53.0,1
139918481,7500.0,15,2017,6,19,0,2017,6,4,6,22,9,111,17.0,0
515083853,860.15,40,2017,6,12,0,2017,5,3,2,20,12,19,34.0,0
1075076755,7000.0,35,2010,12,19,6,2010,11,14,6,22,6,39,10.0,1
608639438,5910.0,30,2015,9,16,2,2015,8,17,0,22,4,113,46.0,1
1513926420,1200.0,40,2013,1,7,0,2012,11,28,2,22,10,90,60.0,1
1590240196,20000.0,30,2017,12,31,6,2017,12,1,4,22,6,93,29.0,0
947502573,32000.0,60,2011,10,19,2,2011,8,20,5,22,6,55,16.0,0
1418134348,65000.0,7,2017,9,13,2,2017,9,6,2,22,9,12,41.0,0
856853691,35000.0,30,2016,3,16,2,2016,2,15,0,22,13,16,55.0,0
1872340907,12000.0,40,2012,9,24,0,2012,8,15,2,22,6,55,55.0,1
165722618,500.0,31,2015,2,13,4,2015,1,13,1,22,2,17,44.0,0
255854048,7000.0,36,2016,12,22,3,2016,11,16,2,22,11,103,54.0,1
2126994183,25000.0,33,2012,3,1,3,2012,1,28,5,22,7,58,21.0,0
1692901875,300000.0,30,2015,2,16,0,2015,1,17,5,22,6,24,56.0,0
785167426,802.83,27,2015,2,18,2,2015,1,22,3,3,12,54,19.0,0
846730100,21886.95,30,2015,4,9,3,2015,3,10,1,9,4,113,60.0,0
1557946704,100000.0,30,2016,5,17,1,2016,4,17,6,22,7,51,60.0,1
1196622148,5000.0,45,2013,12,29,6,2013,11,14,3,22,12,19,31.0,0
1211984590,10000.0,32,2009,9,20,6,2009,8,19,2,22,6,39,20.0,1
503511492,3000.0,16,2014,5,19,0,2014,5,3,5,22,14,141,37.0,1
781987005,75.0,30,2014,2,6,3,2014,1,7,1,22,0,96,13.0,1
1684376858,15000.0,31,2015,4,20,0,2015,3,20,4,22,6,139,37.0,0
1329490095,30200.0,21,2017,9,15,4,2017,8,25,4,22,12,95,52.0,0
1015956967,11871.97,25,2013,9,10,1,2013,8,16,4,9,14,141,56.0,0
578412060,4000.0,30,2013,5,10,4,2013,4,10,2,22,7,58,21.0,0
718254587,6115.27,60,2015,8,2,6,2015,6,3,2,3,13,131,13.0,1
90355908,26829.73,40,2017,5,13,5,2017,4,3,0,5,7,41,28.0,1
745465422,1000.0,21,2010,11,11,3,2010,10,21,3,22,12,95,13.0,1
