ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
1865564307,8000.0,30,2015,3,23,0,2015,2,21,5,22,12,100,16.0,0
1549512416,72956.49,30,2015,4,4,5,2015,3,5,3,9,0,96,30.0,0
1688250262,4000.0,40,2011,1,10,0,2010,12,1,2,22,8,148,44.0,1
405976739,3000.0,60,2012,11,27,1,2012,9,28,4,22,8,136,60.0,1
1307892371,35000.0,47,2014,6,7,5,2014,4,21,0,22,4,113,42.0,0
1791853292,1000.0,45,2010,4,1,3,2010,2,15,0,22,0,10,75.0,1
1413017637,6500.0,30,2013,5,25,5,2013,4,25,3,22,12,54,54.0,0
1747953067,500.0,40,2015,3,28,5,2015,2,16,0,22,4,9,57.0,0
790195415,75000.0,45,2017,3,1,2,2017,1,15,6,22,8,148,25.0,0
1075499107,1366.46,60,2016,12,10,5,2016,10,11,1,7,8,136,36.0,0
1042266639,5000.0,30,2014,8,22,4,2014,7,23,2,22,12,82,39.0,0
1546762014,9019.98,40,2016,2,7,6,2015,12,29,1,8,5,2,54.0,1
1150416674,11742.05,30,2017,12,2,5,2017,11,2,3,5,4,113,52.0,0
1121456446,19000.0,21,2014,11,22,5,2014,11,1,5,22,6,129,14.0,1
1713831232,572.39,31,2016,4,1,4,2016,3,1,1,9,10,68,50.0,1
560958202,11727.79,32,2017,7,23,6,2017,6,21,2,5,4,144,60.0,1
1748114722,20000.0,57,2012,8,1,2,2012,6,5,1,22,12,95,47.0,1
570602176,1500.0,60,2015,9,21,0,2015,7,23,3,22,8,148,20.0,0
1757224678,2000.0,30,2016,11,27,6,2016,10,28,4,22,13,149,22.0,1
2136219940,500.0,30,2014,6,6,4,2014,5,7,2,22,8,84,17.0,0
1531456046,20000.0,30,2014,9,19,4,2014,8,20,2,22,6,153,37.0,0
773995551,15000.0,30,2013,2,22,4,2013,1,23,2,22,12,54,34.0,0
1992116554,5000.0,30,2017,12,12,1,2017,11,12,6,22,10,68,51.0,0
1692193860,3000.0,20,2011,4,28,3,2011,4,8,4,22,12,100,18.0,0
304805763,5000.0,20,2014,3,3,0,2014,2,11,1,22,8,136,57.0,1
968605978,16344.1,30,2014,6,26,3,2014,5,27,1,17,12,95,57.0,0
1560219033,364.17,31,2017,7,5,2,2017,6,4,6,19,10,47,60.0,0
1809415118,2000.0,30,2015,3,11,2,2015,2,9,0,22,5,121,31.0,0
1960595067,755.42,60,2013,7,7,6,2013,5,8,2,9,5,52,13.0,0
1989826989,10000.0,30,2017,12,17,6,2017,11,17,4,22,8,148,39.0,1
897097427,500.0,45,2015,9,7,0,2015,7,24,4,22,11,104,35.0,0
2039159794,15000.0,30,2016,3,2,2,2016,2,1,0,22,2,32,46.0,0
1777336212,9500.0,33,2015,4,20,0,2015,3,18,2,22,4,113,56.0,0
381810139,500.0,18,2017,4,10,0,2017,3,23,3,22,12,54,24.0,1
383350382,8000.0,45,2013,4,23,1,2013,3,9,5,22,6,39,18.0,1
1988873812,7500.0,31,2015,5,15,4,2015,4,14,1,22,5,7,25.0,0
1712640644,2500.0,30,2015,5,1,4,2015,4,1,2,22,13,151,56.0,0
1350379362,2401.22,30,2016,1,31,6,2016,1,1,4,9,6,129,19.0,0
716405825,3000.0,30,2016,4,16,5,2016,3,17,3,22,12,19,35.0,0
329286755,2000.0,60,2013,9,9,0,2013,7,11,3,22,12,115,41.0,0
1743139692,148031.92,30,2015,4,2,3,2015,3,3,1,9,13,124,56.0,0
606691787,1221.5,30,2015,1,8,3,2014,12,9,1,1,8,88,14.0,0
1424436853,5000.0,30,2012,7,12,3,2012,6,12,1,22,5,52,19.0,0
380161881,90032.3,60,2016,6,17,4,2016,4,18,0,5,13,132,48.0,0
928981978,10000.0,60,2012,7,13,4,2012,5,14,0,22,6,93,20.0,0
1229779237,20000.0,30,2012,6,29,4,2012,5,30,2,22,12,54,18.0,0
1193220569,5000.0,32,2017,6,2,4,2017,5,1,0,22,6,39,34.0,1
1319095154,3000.0,30,2016,11,4,4,2016,10,5,2,22,10,30,27.0,0
470399159,36000.0,33,2013,12,14,5,2013,11,11,0,22,4,113,39.0,0
137824787,9800.0,36,2017,3,29,2,2017,2,21,1,22,8,136,53.0,1
980134707,6663.47,30,2017,11,21,1,2017,10,22,6,9,10,86,40.0,0
1680558234,10000.0,45,2013,4,4,3,2013,2,18,0,22,4,113,42.0,0
1762425801,3600.0,50,2017,1,3,1,2016,11,14,0,22,10,47,38.0,0
1341738184,8856.04,45,2017,8,25,4,2017,7,11,1,2,8,136,8.0,1
246989733,15000.0,30,2014,7,24,3,2014,6,24,1,22,10,90,32.0,1
1868909588,2500.0,33,2015,6,24,2,2015,5,22,4,22,4,113,54.0,1
1092854482,10500.0,43,2011,4,28,3,2011,3,16,2,22,10,156,21.0,0
256624446,5000.0,30,2016,9,3,5,2016,8,4,3,22,12,115,39.0,0
304819673,1500000.0,30,2014,10,4,5,2014,9,4,3,22,7,58,27.0,0
1286612522,1600.0,30,2016,11,6,6,2016,10,7,4,22,1,26,40.0,0
301294024,10000.0,34,2015,4,16,3,2015,3,13,4,22,10,80,18.0,0
2143405953,52583.61,30,2017,1,13,4,2016,12,14,2,21,2,32,4.0,0
10791032,7542.62,30,2017,1,1,6,2016,12,2,4,3,8,88,3.0,0
1373498288,4181.0,30,2013,6,22,5,2013,5,23,3,22,12,95,42.0,1
1202732568,18000.0,35,2016,12,28,2,2016,11,23,2,22,0,70,9.0,1
572760137,458.72,30,2014,8,10,6,2014,7,11,4,3,7,41,23.0,0
2065864802,7500.0,28,2014,4,23,2,2014,3,26,2,22,0,114,35.0,1
106921622,5000.0,30,2013,12,11,2,2013,11,11,0,22,6,153,39.0,1
1029642600,1836.69,30,2015,10,21,2,2015,9,21,0,3,12,115,30.0,1
335157197,12000.0,41,2012,11,5,0,2012,9,25,1,22,10,68,26.0,0
266111742,4000.0,33,2016,12,21,2,2016,11,18,4,22,10,90,41.0,1
171849921,5000.0,30,2015,6,25,3,2015,5,26,1,22,4,37,31.0,0
872133617,3000.0,42,2012,7,13,4,2012,6,1,4,22,6,55,17.0,0
760752490,2500.0,60,2015,3,21,5,2015,1,20,1,22,7,58,44.0,0
216583409,800.0,30,2011,8,12,4,2011,7,13,2,22,10,90,41.0,1
1407774046,18100.0,31,2014,4,24,3,2014,3,24,0,22,10,75,60.0,1
1417742060,6692.4,45,2016,3,19,5,2016,2,3,2,7,7,41,26.0,0
678948435,1200.0,59,2013,4,14,6,2013,2,14,3,22,6,153,19.0,0
414669431,3000.0,35,2014,6,25,2,2014,5,21,2,22,6,139,58.0,1
1979177688,1999.77,24,2017,7,15,5,2017,6,21,2,15,2,110,29.0,0
1057803246,1000.0,30,2012,4,4,2,2012,3,5,0,22,10,30,48.0,0
635562262,500.0,30,2017,4,6,3,2017,3,7,1,22,1,152,36.0,1
119245924,150000.0,30,2012,8,29,2,2012,7,30,0,22,8,148,21.0,0
232997776,1500.0,30,2017,12,11,0,2017,11,11,5,22,0,70,60.0,1
165407836,2500.0,30,2014,5,10,5,2014,4,10,3,22,4,37,32.0,0
914364361,20000.0,29,2013,6,17,0,2013,5,19,6,22,8,136,50.0,1
1023914483,30000.0,30,2015,3,7,5,2015,2,5,3,22,5,52,12.0,0
884885110,1.52,6,2013,5,16,3,2013,5,10,4,9,0,96,33.0,1
