ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,recoded_target
1800240873,1285.35,25,2017,5,27,5,2017,5,2,1,9,4,37,1
719396811,13246.63,25,2015,2,14,5,2015,1,20,1,3,6,39,0
7862123,10000.0,30,2015,11,5,3,2015,10,6,1,22,4,113,0
826352250,75000.0,32,2016,12,23,4,2016,11,21,0,22,8,148,0
462686037,2390.0,30,2016,10,31,0,2016,10,1,5,22,12,1,1
1413118109,25000.0,60,2017,12,31,6,2017,11,1,2,22,4,113,0
1189186557,1003.88,30,2014,4,6,6,2014,3,7,4,9,5,52,0
651579656,17086.72,40,2014,7,12,5,2014,6,2,0,9,13,132,0
30632217,2000.0,30,2011,6,23,3,2011,5,24,1,22,10,90,1
2043118026,3000.0,30,2012,9,30,6,2012,8,31,4,22,10,90,0
1994096230,1000.0,30,2017,5,20,5,2017,4,20,3,22,14,107,1
695173913,2500.0,46,2010,9,17,4,2010,8,2,0,22,10,72,1
402083662,6500.0,20,2016,8,2,1,2016,7,13,2,22,5,76,0
267340553,1200.0,60,2010,7,3,5,2010,5,4,1,22,10,30,0
314709940,40000.0,30,2015,3,5,3,2015,2,3,1,22,11,103,0
802044729,12564.79,37,2015,3,9,0,2015,1,31,5,3,10,90,1
182289589,20000.0,30,2016,4,24,6,2016,3,25,4,22,10,68,0
1541124482,6500.0,60,2012,1,9,0,2011,11,10,3,22,6,153,0
924812546,15000.0,30,2012,8,24,4,2012,7,25,2,22,10,30,0
1430011495,850.0,14,2015,10,12,0,2015,9,28,0,22,10,119,1
496087817,6000.0,50,2015,6,20,5,2015,5,1,4,22,11,105,0
1480839952,12000.0,58,2014,3,9,6,2014,1,10,4,22,0,10,0
659550780,10000.0,30,2017,10,11,2,2017,9,11,0,22,10,90,0
443732363,6500.0,60,2012,5,22,1,2012,3,23,4,22,10,30,1
234173043,5000.0,31,2012,1,8,6,2011,12,8,3,22,10,90,1
579113455,13750.0,30,2015,12,2,2,2015,11,2,0,22,13,67,0
1317000805,7919.16,30,2015,6,15,0,2015,5,16,5,9,10,119,0
1011645519,1000.0,45,2014,4,14,0,2014,2,28,4,22,4,37,0
1940034356,2500.0,57,2016,6,30,3,2016,5,4,2,22,8,62,0
761511766,3000.0,35,2016,5,12,3,2016,4,7,3,22,8,62,0
350813386,12479.2,45,2015,4,30,3,2015,3,16,0,3,6,3,0
55245306,10380.49,7,2017,10,2,0,2017,9,25,0,9,10,68,0
1599043948,8000.0,30,2016,12,18,6,2016,11,18,4,22,4,113,1
2004777248,7500.0,30,2012,6,10,6,2012,5,11,4,22,12,54,0
177331281,500.0,30,2013,3,10,6,2013,2,8,4,22,5,52,0
1351237114,8763.46,41,2016,10,31,0,2016,9,20,1,17,12,115,0
779890699,20000.0,30,2012,12,4,1,2012,11,4,6,22,4,113,1
1273985755,5000.0,30,2012,4,8,6,2012,3,9,4,22,0,114,1
116475255,2000.0,35,2014,10,1,2,2014,8,27,2,22,10,75,0
1672340355,90000.0,60,2016,4,10,6,2016,2,10,2,22,10,125,0
366886752,20000.0,35,2015,6,1,0,2015,4,27,0,22,4,9,0
594656853,19997.71,30,2017,7,20,3,2017,6,20,1,15,13,131,0
479495120,1000.0,30,2012,12,24,0,2012,11,24,5,22,8,148,0
2096637994,2000.0,60,2012,10,7,6,2012,8,8,2,22,10,125,0
1016991246,5000.0,20,2017,6,21,2,2017,6,1,3,22,2,32,1
1546578425,70376.94,30,2016,4,3,6,2016,3,4,4,9,14,134,0
337930031,12973.0,30,2011,7,28,3,2011,6,28,1,22,6,39,0
1222768561,3500.0,30,2015,10,11,6,2015,9,11,4,22,7,59,0
1568236425,8500.0,30,2016,9,24,5,2016,8,25,3,22,5,101,0
1894009672,5000.0,51,2012,8,18,5,2012,6,28,3,22,10,109,1
2001386896,10000.0,45,2017,12,19,1,2017,11,4,5,22,7,41,0
2035255757,8000.0,34,2014,11,17,0,2014,10,14,1,22,10,156,1
1829653010,500.0,11,2017,6,23,4,2017,6,12,0,22,6,142,0
1479111322,5000.0,30,2013,3,6,2,2013,2,4,0,22,8,148,0
1829615867,1500.0,30,2012,10,18,3,2012,9,18,1,22,1,26,1
392822682,8500.0,25,2013,5,17,4,2013,4,22,0,22,6,129,0
261499915,25000.0,36,2016,8,21,6,2016,7,16,5,22,13,149,0
1298713193,370613.52,49,2017,1,6,4,2016,11,18,4,12,8,62,0
906024774,5000.0,30,2017,6,30,4,2017,5,31,2,22,13,8,1
120914193,24135.66,47,2015,8,16,6,2015,6,30,1,9,4,113,0
1002981465,69190.22,45,2016,12,9,4,2016,10,25,1,9,12,115,0
1594358426,1858.45,30,2013,2,11,0,2013,1,12,5,9,10,90,1
699315022,30000.0,45,2015,12,21,0,2015,11,6,4,22,12,95,0
3249599,10.0,58,2014,10,30,3,2014,9,2,1,22,7,58,1
1066221382,2376.99,30,2017,11,28,1,2017,10,29,6,5,14,141,0
832776048,1600.0,36,2010,11,15,0,2010,10,10,6,22,11,104,1
835222710,2000.0,30,2014,5,23,4,2014,4,23,2,22,10,23,0
1763362201,8500.0,30,2013,7,26,4,2013,6,26,2,22,10,23,1
758119757,2722.24,30,2015,7,17,4,2015,6,17,2,11,13,151,0
1863863586,250.0,12,2015,11,4,2,2015,10,23,4,22,4,113,1
401341978,7500.0,21,2013,3,20,2,2013,2,27,2,22,13,138,1
1785781915,2000.0,33,2017,5,31,2,2017,4,28,4,22,5,2,0
599706095,35000.0,60,2015,2,5,3,2014,12,7,6,22,7,123,1
1278635926,3547.08,30,2014,8,23,5,2014,7,24,3,3,6,39,0
2091411121,1500.0,14,2014,3,5,2,2014,2,19,2,22,12,54,1
1159168004,3000.0,30,2014,6,19,3,2014,5,20,1,22,0,87,0
530352230,77112.89,30,2016,3,17,3,2016,2,16,1,3,6,139,0
1902997857,999.0,33,2014,8,26,1,2014,7,24,3,22,10,90,0
1272678612,25000.0,30,2010,10,28,3,2010,9,28,1,22,6,39,0
652515500,4500.0,30,2012,7,25,2,2012,6,25,0,22,1,26,0
230748499,4506.47,30,2015,4,14,1,2015,3,15,6,9,0,96,1
1453225329,932.15,60,2014,12,21,6,2014,10,22,2,9,8,148,1
1689396527,51900.0,30,2014,1,30,3,2013,12,31,1,22,5,52,0
1555268850,7500.0,20,2015,11,10,1,2015,10,21,2,22,8,106,1
503446135,612.0,60,2014,10,8,2,2014,8,9,5,22,7,13,0
946361236,7500.0,60,2015,6,30,1,2015,5,1,4,22,1,66,0
1474075629,6500.0,75,2010,12,9,3,2010,9,25,5,22,1,26,0
1495240781,5000.0,30,2013,12,20,4,2013,11,20,2,22,6,129,1
819482118,7000.0,30,2012,12,1,5,2012,11,1,3,22,10,30,1
463739658,50000.0,46,2015,7,31,4,2015,6,15,0,22,4,113,1
1687239231,3595.0,89,2009,12,15,1,2009,9,17,3,22,5,52,0
1204396888,1800.0,29,2014,9,23,1,2014,8,25,0,22,6,39,0
541980325,2000.0,30,2012,12,7,4,2012,11,7,2,22,10,30,1
1477423864,11192.94,42,2016,8,30,1,2016,7,19,1,5,4,113,0
55945972,10000.0,21,2014,9,25,3,2014,9,4,3,22,7,59,0
1581481972,25000.0,30,2016,11,17,3,2016,10,18,1,22,12,54,0
1070249225,4000.0,31,2012,3,2,4,2012,1,31,1,22,10,125,1
140988637,1000.0,30,2014,4,25,4,2014,3,26,2,22,4,113,0
1335172867,10000.0,30,2014,11,7,4,2014,10,8,2,22,12,19,1
1677279925,2000.0,72,2011,7,17,6,2011,5,6,4,22,3,36,1
937854569,314.19,20,2015,5,11,0,2015,4,21,1,9,4,37,1
2143594036,1700.0,48,2015,11,27,4,2015,10,10,5,22,0,38,0
168828286,400.0,30,2017,3,15,2,2017,2,13,0,22,0,96,1
530130076,10000.0,30,2011,9,26,0,2011,8,27,5,22,11,104,0
1435541060,1000.0,30,2016,1,27,2,2015,12,28,0,22,13,8,0
2036045759,4613.82,24,2015,11,8,6,2015,10,15,3,18,14,53,1
334491778,1500.0,30,2016,8,16,1,2016,7,17,6,22,13,132,0
784119402,10000.0,30,2016,10,13,3,2016,9,13,1,22,5,7,1
1131991315,5000.0,50,2010,11,5,4,2010,9,16,3,22,6,39,1
1495979113,3297.83,30,2014,3,20,3,2014,2,18,1,9,13,131,0
2107470930,100.0,2,2017,11,10,4,2017,11,8,2,22,8,136,1
486239561,6900.0,32,2013,8,16,4,2013,7,15,0,22,1,26,1
67615857,4000.0,30,2011,5,16,0,2011,4,16,5,22,6,55,0
1940941490,1600.0,3,2013,2,1,4,2013,1,29,1,22,12,108,0
454203411,9822.44,40,2017,4,12,2,2017,3,3,4,3,12,54,0
1519411562,22000.0,15,2017,8,8,1,2017,7,24,0,22,7,130,0
1349102487,1500.0,20,2012,7,26,3,2012,7,6,4,22,7,58,1
430329041,8000.0,36,2017,2,15,2,2017,1,10,1,22,8,136,1
1730812717,7401.6,30,2015,3,29,6,2015,2,27,4,9,13,151,0
1290453895,3405.08,31,2013,10,6,6,2013,9,5,3,9,10,75,0
1955167162,200.0,60,2016,5,25,2,2016,3,26,5,22,8,63,1
158377273,2200.0,46,2013,3,16,5,2013,1,29,1,22,6,39,1
2054727936,2000.0,20,2015,7,12,6,2015,6,22,0,22,12,54,0
821913810,1.0,10,2015,12,5,5,2015,11,25,2,22,1,25,1
841478999,1569.59,30,2014,11,28,4,2014,10,29,2,9,11,104,0
1503196274,67200.0,60,2012,12,5,2,2012,10,6,5,22,8,148,0
324398003,2500.0,30,2012,7,8,6,2012,6,8,4,22,12,19,0
1691759829,15000.0,32,2017,1,14,5,2016,12,13,1,22,0,70,1
1829693251,4500.0,30,2015,11,13,4,2015,10,14,2,22,12,54,0
757479238,5000.0,30,2013,7,14,6,2013,6,14,4,22,12,95,1
1728299931,8031.05,30,2014,4,8,1,2014,3,9,6,9,6,129,1
1384600978,6000.0,30,2016,4,3,6,2016,3,4,4,22,5,7,0
1707705772,5232.33,30,2017,6,2,4,2017,5,3,2,10,5,7,0
2096985113,5000.0,6,2015,1,21,2,2015,1,15,3,22,5,7,0
377805062,8000.0,24,2016,10,1,5,2016,9,7,2,22,9,77,0
526970222,1000.0,30,2017,6,15,3,2017,5,16,1,22,0,87,0
1668596735,1000.0,45,2014,5,10,5,2014,3,26,2,22,5,52,0
207291433,10000.0,30,2016,12,7,2,2016,11,7,0,22,7,130,0
1774391821,9400.0,30,2013,4,21,6,2013,3,22,4,22,5,52,1
1351674277,1000.0,30,2017,2,24,4,2017,1,25,2,22,6,69,0
1291446278,20000.0,30,2013,4,4,3,2013,3,5,1,22,5,52,1
1940689042,30000.0,30,2015,3,12,3,2015,2,10,1,22,13,151,0
1629146717,3500.0,15,2013,3,2,5,2013,2,15,4,22,6,129,1
1331223135,8000.0,22,2014,7,1,1,2014,6,9,0,22,3,134,1
207275402,3400.0,13,2016,6,14,1,2016,6,1,2,22,10,23,1
8388418,3000.0,30,2013,11,23,5,2013,10,24,3,22,5,52,1
341582248,9000.0,30,2014,9,19,4,2014,8,20,2,22,12,95,0
672627831,6700.0,30,2015,8,14,4,2015,7,15,2,22,9,77,0
1439353682,3601.27,56,2015,12,31,3,2015,11,5,3,3,13,124,0
1254680678,771.99,30,2014,12,29,0,2014,11,29,5,9,8,63,0
445246704,10000.0,30,2015,2,28,5,2015,1,29,3,22,10,90,0
138066496,17655.37,30,2013,10,4,4,2013,9,4,2,9,0,10,0
992236527,2500.0,30,2015,11,26,3,2015,10,27,1,22,0,96,0
375422450,2000.0,20,2015,4,26,6,2015,4,6,0,22,13,124,1
1493289671,20000.0,22,2012,3,9,4,2012,2,16,3,22,6,39,0
1394567649,6983.73,30,2015,9,3,3,2015,8,4,1,1,8,148,1
401917553,12000.0,25,2013,12,16,0,2013,11,21,3,22,6,129,1
1679776917,4000.0,43,2014,2,1,5,2013,12,20,4,22,14,141,1
51673884,15000.0,30,2015,8,30,6,2015,7,31,4,22,8,148,0
361421197,2000.0,60,2013,6,24,0,2013,4,25,3,22,6,153,0
971741599,80000.0,30,2014,1,3,4,2013,12,4,2,22,4,113,0
857430115,5000.0,30,2015,1,16,4,2014,12,17,2,22,5,52,0
1242024429,3000.0,31,2017,6,24,5,2017,5,24,2,22,12,19,0
1657218142,7798.39,28,2013,12,29,6,2013,12,1,6,9,6,129,0
1893736897,2500.0,90,2010,8,25,2,2010,5,27,3,22,11,104,1
1619782231,3500.0,30,2012,11,30,4,2012,10,31,2,22,10,42,0
2109277896,22000.0,30,2013,3,31,6,2013,3,1,4,22,10,90,0
1162408509,30118.51,30,2017,7,22,5,2017,6,22,3,9,8,136,1
1071620360,10000.0,45,2017,9,8,4,2017,7,25,1,22,7,130,1
2046578676,1500.0,30,2015,5,20,2,2015,4,20,0,22,10,125,0
1302949986,10500.0,30,2014,12,13,5,2014,11,13,3,22,10,90,1
787552413,4000.0,20,2015,2,4,2,2015,1,15,3,22,9,77,1
733320140,3000.0,24,2012,3,31,5,2012,3,7,2,22,9,77,0
1746969219,10000.0,39,2013,1,20,6,2012,12,12,2,22,4,113,0
1325982734,400.0,15,2017,9,5,1,2017,8,21,0,22,8,136,1
408575703,6082.16,35,2014,6,27,4,2014,5,23,4,3,12,115,0
1454359416,30000.0,45,2011,3,5,5,2011,1,19,2,22,6,39,1
478584524,40000.0,30,2013,10,31,3,2013,10,1,1,22,4,113,1
1036423813,20000.0,30,2015,3,1,6,2015,1,30,4,22,7,41,1
1632606613,20000.0,30,2014,10,12,6,2014,9,12,4,22,0,10,0
1634562762,18494.09,31,2016,10,3,0,2016,9,2,4,9,4,37,1
1345294995,15000.0,29,2017,10,15,6,2017,9,16,5,22,6,91,0
1462534910,500.0,30,2012,9,30,6,2012,8,31,4,22,6,39,1
2078257699,16059.53,30,2017,12,22,4,2017,11,22,2,9,8,148,0
1944591180,2000.0,28,2013,11,12,1,2013,10,15,1,22,6,39,1
234936875,3828.96,30,2015,6,20,5,2015,5,21,3,1,10,72,0
593106808,19895.37,60,2016,9,19,0,2016,7,21,3,20,7,59,0
866622693,5314.51,37,2016,11,17,3,2016,10,11,1,8,12,115,1
13606656,10500.0,60,2017,3,29,2,2017,1,28,5,22,6,24,0
409765388,1849.63,30,2015,5,8,4,2015,4,8,2,9,0,10,1
873317456,50000.0,30,2016,9,1,3,2016,8,2,1,22,0,10,0
7737715,17278.72,33,2016,12,15,3,2016,11,12,5,18,5,7,1
533082518,8095.59,30,2013,10,12,5,2013,9,12,3,9,6,55,0
1133898266,7000.0,45,2012,11,7,2,2012,9,23,6,22,0,87,1
258183443,40000.0,30,2013,12,21,5,2013,11,21,3,22,13,67,1
41806342,5000.0,30,2013,5,19,6,2013,4,19,4,22,1,66,1
1817376070,609.43,30,2013,5,31,4,2013,5,1,2,9,2,32,0
211905145,11215037.12,30,2015,4,30,3,2015,3,31,1,11,13,8,0
673102873,10000.0,56,2015,5,1,4,2015,3,6,4,22,10,90,0
2090350681,1594.51,30,2017,7,25,1,2017,6,25,6,3,8,148,0
390029991,10000.0,30,2012,2,8,2,2012,1,9,0,22,6,129,0
1469930695,38623.46,30,2017,8,15,1,2017,7,16,6,9,2,154,0
1917406806,15000.0,32,2013,11,10,6,2013,10,9,2,22,6,55,0
1400448858,5000.0,58,2011,8,1,0,2011,6,4,5,22,6,39,0
1943251311,19423.54,30,2013,5,17,4,2013,4,17,2,9,7,58,0
1067000534,5500.0,31,2016,4,28,3,2016,3,28,0,22,5,2,0
125744723,3728.0,21,2015,12,14,0,2015,11,23,0,9,8,136,1
931078963,211.95,20,2016,3,24,3,2016,3,4,4,9,5,7,0
399937563,534.01,30,2015,5,28,3,2015,4,28,1,9,12,115,0
1056531322,9388.06,30,2015,9,13,6,2015,8,14,4,9,7,29,0
976711190,5000.0,30,2014,7,10,3,2014,6,10,1,22,0,10,0
1624040565,3000.0,37,2012,1,13,4,2011,12,7,2,22,0,98,0
1060181796,1000.0,18,2011,4,5,1,2011,3,18,4,22,10,23,1
1766787414,600.0,20,2015,7,15,2,2015,6,25,3,22,6,55,0
1126907215,10000.0,41,2015,5,27,2,2015,4,16,3,22,10,90,0
120505327,78451.88,30,2017,10,3,1,2017,9,3,6,9,13,138,0
174860278,600.0,46,2010,6,12,5,2010,4,27,1,22,10,90,1
1944197860,3492.6,60,2017,7,18,1,2017,5,19,4,11,5,31,1
487322811,21500.0,35,2014,10,21,1,2014,9,16,1,22,4,113,1
342665834,2700.0,51,2016,3,23,2,2016,2,1,0,22,10,72,0
2502941,280.95,29,2014,8,30,5,2014,8,1,4,1,7,13,0
1394012422,9300.0,31,2015,10,23,4,2015,9,22,1,22,8,136,1
163436225,1500.0,30,2015,2,23,0,2015,1,24,5,22,13,131,0
2071825644,30000.0,45,2014,8,8,4,2014,6,24,1,22,5,52,0
690963524,300.0,21,2015,8,3,0,2015,7,13,0,22,0,96,1
1226297348,20000.0,30,2016,4,13,2,2016,3,14,0,22,5,7,0
1286485657,1200.0,26,2012,11,17,5,2012,10,22,0,22,0,10,0
1161188028,1500.0,30,2012,8,11,5,2012,7,12,3,22,10,90,1
37585826,25000.0,60,2016,3,22,1,2016,1,22,4,22,8,88,0
774696078,3000.0,30,2014,4,10,3,2014,3,11,1,22,4,65,0
1827433765,65682.16,30,2015,12,24,3,2015,11,24,1,7,7,123,0
78540343,4500.0,32,2012,8,29,2,2012,7,28,5,22,0,87,1
10859083,1100.0,40,2014,1,11,5,2013,12,2,0,22,10,68,0
1971509289,2000.0,30,2015,12,19,5,2015,11,19,3,22,6,24,1
626846573,10000.0,19,2017,7,26,2,2017,7,7,4,22,8,136,1
320857848,3000.0,30,2017,1,13,4,2016,12,14,2,22,5,7,0
585609113,5000.0,30,2015,2,12,3,2015,1,13,1,22,7,130,0
1299556515,5000.0,14,2010,11,3,2,2010,10,20,2,22,11,104,0
222768501,2000.0,30,2014,9,9,1,2014,8,10,6,22,11,103,0
2071186607,2800.0,40,2014,8,24,6,2014,7,15,1,22,7,58,0
1653711964,350.0,29,2013,4,13,5,2013,3,15,4,22,10,23,1
859802253,20088.39,30,2015,2,6,4,2015,1,7,2,3,4,74,0
317474310,1500.0,30,2012,8,8,2,2012,7,9,0,22,12,11,0
334286691,350.0,60,2012,5,18,4,2012,3,19,0,22,10,90,1
542037734,25000.0,45,2017,8,1,1,2017,6,17,5,22,8,88,0
626896674,9222.86,25,2015,4,20,0,2015,3,26,3,9,6,39,0
369536384,8250.0,31,2015,7,11,5,2015,6,10,2,22,10,125,1
575550913,7300.0,28,2011,8,31,2,2011,8,3,2,22,6,93,0
394730760,2750.0,16,2013,3,20,2,2013,3,4,0,22,12,95,0
120282819,500.0,30,2014,8,8,4,2014,7,9,2,22,2,112,1
2106952120,3051.8,48,2016,7,20,2,2016,6,2,3,3,12,143,1
1302515890,7000.0,45,2011,8,2,1,2011,6,18,5,22,12,11,0
2144099701,10950.0,20,2014,11,2,6,2014,10,13,0,22,12,54,0
604456739,1000.0,30,2014,9,15,0,2014,8,16,5,22,6,3,0
1342282888,1100.0,30,2017,10,10,1,2017,9,10,6,22,8,148,0
13662452,2500.0,10,2017,7,1,5,2017,6,21,2,22,4,65,0
449024422,150000.0,30,2014,12,19,4,2014,11,19,2,22,11,56,0
725546818,4500.0,30,2014,4,25,4,2014,3,26,2,22,12,95,0
1192291710,99593.88,34,2016,6,19,6,2016,5,16,0,12,13,149,0
1802657009,13500.0,30,2016,6,9,3,2016,5,10,1,22,4,113,0
587291000,1000.0,30,2011,7,27,2,2011,6,27,0,22,5,52,1
1393379460,1000.0,30,2017,11,21,1,2017,10,22,6,22,8,136,1
1919698464,7719.86,36,2014,12,31,2,2014,11,25,1,9,8,136,1
1610108588,8000.0,23,2015,4,24,4,2015,4,1,2,22,14,45,1
404516259,2500.0,15,2013,12,20,4,2013,12,5,3,22,5,52,0
595241375,10000.0,31,2015,4,17,4,2015,3,17,1,22,1,25,0
1115055243,3726.89,33,2016,3,1,1,2016,1,28,3,3,12,54,0
853596289,4000.0,30,2017,9,15,4,2017,8,16,2,22,8,106,0
1687818833,2000.0,24,2011,11,12,5,2011,10,19,2,22,0,10,1
1450087906,12000.0,30,2011,5,31,1,2011,5,1,6,22,6,39,1
2081120196,7040.93,35,2014,7,15,1,2014,6,10,1,1,0,96,0
1077063378,1500.0,30,2011,7,8,4,2011,6,8,2,22,10,90,1
65158198,370.0,30,2013,4,27,5,2013,3,28,3,22,6,129,1
1998536111,1200.0,30,2011,3,3,3,2011,2,1,1,22,14,141,1
1097332224,4000.0,46,2017,10,22,6,2017,9,6,2,22,10,90,0
1321868642,3212.59,15,2015,2,27,4,2015,2,12,3,3,7,41,0
1891829228,3000.0,60,2011,11,5,5,2011,9,6,1,22,14,141,1
198597383,161298.65,60,2015,6,6,5,2015,4,7,1,18,13,67,0
1356749374,5000.0,30,2012,5,11,4,2012,4,11,2,22,6,153,0
