ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,country_recoded,main_category_recoded,subcategory_recoded,recoded_target
998342396,8000.0,30,2013,6,5,2,2013,5,6,0,22,13,67,0
1986855053,7500.0,30,2014,5,21,2,2014,4,21,0,22,13,138,1
1625800580,6606.24,60,2016,8,25,3,2016,6,26,6,9,0,87,0
878588895,4000.0,27,2013,6,19,2,2013,5,23,3,22,10,23,0
118639913,23164.59,30,2015,10,15,3,2015,9,15,1,9,13,151,0
1803333935,3000.0,30,2015,9,26,5,2015,8,27,3,22,2,32,0
773369380,2800.0,30,2016,8,3,2,2016,7,4,0,22,1,26,1
1837588662,30755.51,60,2015,2,7,5,2014,12,9,1,9,5,7,0
522611719,3213.0,31,2014,12,25,3,2014,11,24,0,22,0,18,1
459431529,5404.0,30,2016,1,22,4,2015,12,23,2,12,8,148,0
443111827,1800.0,30,2014,7,6,6,2014,6,6,4,22,12,95,0
80308296,68160.13,34,2015,10,13,1,2015,9,9,2,5,8,148,0
1783512856,38.98,60,2015,4,24,4,2015,2,23,0,1,3,155,1
905404995,5000.0,30,2012,5,20,6,2012,4,20,4,22,1,26,1
1171201339,2500.0,25,2012,9,9,6,2012,8,15,2,22,10,125,0
1587508383,1500.0,30,2016,1,3,6,2015,12,4,4,22,6,129,1
1552942047,15000.0,29,2012,10,7,6,2012,9,8,5,22,10,90,1
38741180,6000.0,32,2013,6,21,4,2013,5,20,0,22,1,26,0
35045832,8000.0,30,2013,8,9,4,2013,7,10,2,22,5,52,1
1066263887,5000.0,29,2016,3,26,5,2016,2,26,4,22,12,157,0
1300928649,8000.0,30,2012,10,27,5,2012,9,27,3,22,6,129,1
821775955,4000.0,30,2014,3,14,4,2014,2,12,2,22,12,54,1
1528950496,3000.0,46,2011,4,16,5,2011,3,1,1,22,10,90,1
1662883000,1100.0,26,2012,5,2,2,2012,4,6,4,22,3,36,1
537260847,3500.0,30,2015,10,15,3,2015,9,15,1,22,5,7,0
1395561267,5000.0,32,2017,1,9,0,2016,12,8,3,22,7,130,1
618955642,14000.0,45,2011,10,7,4,2011,8,23,1,22,10,90,1
885673794,5000.0,30,2014,8,14,3,2014,7,15,1,22,4,9,0
358279385,1000.0,30,2014,10,15,2,2014,9,15,0,22,12,115,1
1775757949,6000.0,30,2014,12,24,2,2014,11,24,0,22,8,84,0
1859962473,2272.04,29,2017,11,30,3,2017,11,1,2,1,1,26,1
689363828,20000.0,30,2017,12,31,6,2017,12,1,4,22,13,8,0
865815316,2500.0,31,2011,12,12,0,2011,11,11,4,22,12,54,0
2098110873,1100.0,22,2015,4,1,2,2015,3,10,1,22,14,107,1
933198592,2000.0,45,2010,9,11,5,2010,7,28,2,22,6,129,1
1255403316,3000.0,30,2013,3,28,3,2013,2,26,1,22,10,72,1
2082528544,6500.0,45,2011,5,26,3,2011,4,11,0,22,0,10,1
845047376,2250.0,90,2010,7,12,0,2010,4,13,1,22,5,52,0
840840368,200.0,30,2015,3,20,4,2015,2,18,2,22,7,130,0
297500837,56417.94,45,2014,10,16,3,2014,9,1,0,9,5,60,0
231105648,1500.0,41,2012,12,17,0,2012,11,6,1,22,0,10,1
821137293,7000.0,30,2014,5,12,0,2014,4,12,5,22,12,54,0
303723308,3500.0,38,2013,10,1,1,2013,8,24,5,22,14,141,1
1639735475,2000.0,28,2013,11,1,4,2013,10,4,4,22,10,68,0
1022828798,500.0,15,2010,4,28,2,2010,4,13,1,22,0,98,1
1964749060,500.0,60,2017,11,13,0,2017,9,14,3,22,13,8,0
514463764,500.0,60,2013,12,1,6,2013,10,2,2,22,5,52,0
71429175,6500.0,29,2014,3,21,4,2014,2,20,3,22,8,148,0
253519820,2500.0,14,2017,5,11,3,2017,4,27,3,22,7,44,1
1909791538,11100.0,64,2011,7,2,5,2011,4,29,4,22,6,93,1
1329111678,450.0,20,2014,10,15,2,2014,9,25,3,22,8,136,0
203261331,6000.0,60,2014,9,12,4,2014,7,14,0,22,0,10,0
729262883,4888.78,30,2014,8,30,5,2014,7,31,3,9,7,123,0
1913991747,800.0,28,2015,3,12,3,2015,2,12,3,22,10,90,1
385752673,391591.74,45,2017,10,31,1,2017,9,16,5,6,9,146,0
709421461,5500.0,30,2016,4,11,0,2016,3,12,5,22,5,7,0
2070974392,3000.0,37,2014,3,30,6,2014,2,21,4,22,4,37,0
555784952,35000.0,33,2015,9,15,1,2015,8,13,3,22,6,139,1
1321477034,5000.0,7,2017,3,13,0,2017,3,6,0,22,13,151,0
278536528,800.0,30,2013,7,14,6,2013,6,14,4,22,10,72,1
1770302088,60000.0,25,2015,9,26,5,2015,9,1,1,22,13,35,0
2136219940,500.0,30,2014,6,6,4,2014,5,7,2,22,8,84,0
1391077740,1000.0,34,2014,8,31,6,2014,7,28,0,22,5,31,1
1198380686,10000.0,30,2014,5,28,2,2014,4,28,0,22,7,51,1
932554213,40000.0,30,2012,8,23,3,2012,7,24,1,22,6,39,1
27850109,20000.0,90,2011,2,24,3,2010,11,26,4,22,6,129,0
2068141174,1500.0,45,2010,9,19,6,2010,8,5,3,22,14,141,0
702114722,1000.0,30,2014,7,11,4,2014,6,11,2,22,5,2,0
1020325526,1000.0,30,2016,12,10,5,2016,11,10,3,22,4,37,1
688687138,6569.65,28,2014,12,24,2,2014,11,26,2,6,13,151,0
1146648688,40000.0,35,2014,11,7,4,2014,10,3,4,22,6,153,1
285496178,2500.0,30,2011,8,16,1,2011,7,17,6,22,6,129,0
778555086,22000.0,51,2011,3,25,4,2011,2,2,2,22,4,113,0
1997600719,2500.0,14,2015,1,29,3,2015,1,15,3,22,6,39,1
1715724102,17000.0,30,2017,3,16,3,2017,2,14,1,22,1,152,1
139206822,25000.0,15,2013,10,10,3,2013,9,25,2,22,6,55,0
1708726909,15000.0,60,2011,12,20,1,2011,10,21,4,22,6,39,0
487943896,531.5,50,2017,4,12,2,2017,2,21,1,5,11,94,0
2132066089,200000.0,60,2012,12,23,6,2012,10,24,2,22,0,114,0
39253447,40000.0,28,2015,5,18,0,2015,4,20,0,22,2,32,0
1775556451,20231.99,30,2017,11,26,6,2017,10,27,4,9,8,148,0
1141339811,7500.0,30,2015,10,11,6,2015,9,11,4,22,4,113,1
1976637851,341.73,30,2014,7,16,2,2014,6,16,0,9,9,151,0
1565982844,22256.1,45,2016,7,9,5,2016,5,25,2,17,11,103,0
12134418,135800.19,60,2015,11,1,6,2015,9,2,2,8,4,37,1
1439361720,1000.0,30,2016,8,8,0,2016,7,9,5,22,6,5,0
1302531483,3350.0,60,2016,12,24,5,2016,10,25,1,22,6,129,0
136021589,45964.33,28,2014,9,4,3,2014,8,7,3,3,5,52,0
815804859,500.0,30,2011,3,22,1,2011,2,20,6,22,0,96,0
721533483,1870.0,30,2015,7,9,3,2015,6,9,1,22,9,146,0
1242721710,50000.0,28,2017,12,8,4,2017,11,10,4,22,5,2,0
725204692,3854.82,30,2016,6,1,2,2016,5,2,0,2,12,95,0
626682738,1911.31,30,2013,11,15,4,2013,10,16,2,3,4,113,0
999354083,15.0,20,2015,3,17,1,2015,2,25,2,22,7,58,1
333319407,3000.0,30,2014,4,25,4,2014,3,26,2,22,8,148,0
1831914247,3000.0,30,2017,3,26,6,2017,2,24,4,22,12,54,0
1308609428,2400.0,27,2010,7,8,3,2010,6,11,4,22,13,131,1
1830185889,15000.0,30,2017,2,8,2,2017,1,9,0,22,4,113,0
1966364175,10000.0,30,2014,11,7,4,2014,10,8,2,22,12,157,0
798896494,1000.0,30,2016,9,16,4,2016,8,17,2,22,6,24,1
1567697585,6000.0,40,2016,5,14,5,2016,4,4,0,22,7,130,0
428078564,110000.0,30,2013,9,27,4,2013,8,28,2,22,6,93,0
1477454881,25000.0,14,2014,12,1,0,2014,11,17,0,22,2,154,0
1162773463,1000.0,30,2017,7,19,2,2017,6,19,0,22,10,68,1
1044870202,301.04,40,2015,11,22,6,2015,10,13,1,9,6,55,0
972240241,310.39,30,2017,7,11,1,2017,6,11,6,1,10,90,0
1610835419,3000.0,29,2013,6,28,4,2013,5,30,3,22,10,23,1
448611075,50000.0,30,2013,1,18,4,2012,12,19,2,22,8,148,0
304737985,150.0,30,2013,7,22,0,2013,6,22,5,22,6,39,1
1912698330,19000.0,39,2014,11,8,5,2014,9,30,1,22,8,136,0
1913377598,10000.0,60,2016,1,17,6,2015,11,18,2,22,4,113,0
551074403,2500.0,21,2016,1,10,6,2015,12,20,6,22,7,58,1
1201623009,1000.0,25,2015,10,5,0,2015,9,10,3,22,5,7,0
225520179,2752.29,28,2014,8,13,2,2014,7,16,2,3,11,56,0
2123383062,216950.48,60,2015,12,4,4,2015,10,5,0,8,4,113,1
796544869,3500.0,29,2014,9,9,1,2014,8,11,0,22,10,23,1
402148046,757.35,40,2015,1,3,5,2014,11,24,0,9,6,129,1
927711142,1200.0,61,2010,1,2,5,2009,11,2,0,22,12,95,1
2055606340,23000.0,30,2016,10,1,5,2016,9,1,3,22,14,107,1
1290431187,1299.0,33,2015,2,16,0,2015,1,14,2,22,4,113,1
1096932864,5000.0,30,2016,9,28,2,2016,8,29,0,22,6,139,0
1160839132,22000.0,30,2016,9,9,4,2016,8,10,2,22,6,55,0
1163611905,100.0,30,2014,8,30,5,2014,7,31,3,22,7,58,0
1229928223,1200.0,31,2010,12,7,1,2010,11,6,5,22,14,141,0
1249204801,27117.07,30,2015,2,12,3,2015,1,13,1,1,8,148,1
419871439,10000.0,51,2011,9,10,5,2011,7,21,3,22,6,129,1
960892945,3500.0,30,2015,11,9,0,2015,10,10,5,22,1,6,1
997029285,60000.0,60,2012,5,18,4,2012,3,19,0,22,10,156,0
1973557407,3500.0,30,2016,3,10,3,2016,2,9,1,22,2,32,0
721969391,738.23,30,2016,2,20,5,2016,1,21,3,3,4,113,0
1897024763,5000.0,32,2012,11,12,0,2012,10,11,3,22,12,54,0
1050110623,35000.0,30,2013,2,25,0,2013,1,26,5,22,7,58,0
552349961,2200.0,31,2014,2,16,6,2014,1,16,3,22,8,136,1
